survey_route,survey_agency,survey_tech,standard_route_id,standard_line_name,BART_line_name,MTC_line_name,standard_operator,standard_headsign,standard_agency,standard_route_short_name,standard_route_long_name,canonical_operator
CAPITOL CORRIDOR___Berkeley&&&Richmond,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d0_s487,23_AM_196_EA_d0_s487,23_196_EA_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Richmond,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d0_s487,23_AM_196_AM_d0_s487,23_196_AM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Richmond,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d0_s487,23_AM_196_MD_d0_s487,23_196_MD_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Richmond,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d0_s487,23_AM_196_PM_d0_s487,23_196_PM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Richmond,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d1_s486,23_AM_196_EA_d1_s486,23_196_EA_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Richmond,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d1_s486,23_AM_196_AM_d1_s486,23_196_AM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Richmond,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d1_s486,23_AM_196_MD_d1_s486,23_196_MD_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Richmond,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d1_s486,23_AM_196_PM_d1_s486,23_196_PM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Richmond,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d1_s486,23_AM_196_EV_d1_s486,23_196_EV_d1_s486,Capitol Corridor,Oakland Jack London,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Richmond,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d0_s487,23_AM_196_EV_d0_s487,23_196_EV_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&San Jose,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d0_s487,23_AM_196_EA_d0_s487,23_196_EA_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&San Jose,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d0_s487,23_AM_196_AM_d0_s487,23_196_AM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&San Jose,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d0_s487,23_AM_196_MD_d0_s487,23_196_MD_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&San Jose,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d0_s487,23_AM_196_PM_d0_s487,23_196_PM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&San Jose,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d1_s486,23_AM_196_EA_d1_s486,23_196_EA_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&San Jose,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d1_s486,23_AM_196_AM_d1_s486,23_196_AM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&San Jose,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d1_s486,23_AM_196_MD_d1_s486,23_196_MD_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&San Jose,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d1_s486,23_AM_196_PM_d1_s486,23_196_PM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&San Jose,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d1_s486,23_AM_196_EV_d1_s486,23_196_EV_d1_s486,Capitol Corridor,Oakland Jack London,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&San Jose,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d0_s487,23_AM_196_EV_d0_s487,23_196_EV_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Santa Clara Great America,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d0_s487,23_AM_196_EA_d0_s487,23_196_EA_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Santa Clara Great America,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d0_s487,23_AM_196_AM_d0_s487,23_196_AM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Santa Clara Great America,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d0_s487,23_AM_196_MD_d0_s487,23_196_MD_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Santa Clara Great America,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d0_s487,23_AM_196_PM_d0_s487,23_196_PM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Santa Clara Great America,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d1_s486,23_AM_196_EA_d1_s486,23_196_EA_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Santa Clara Great America,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d1_s486,23_AM_196_AM_d1_s486,23_196_AM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Santa Clara Great America,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d1_s486,23_AM_196_MD_d1_s486,23_196_MD_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Santa Clara Great America,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d1_s486,23_AM_196_PM_d1_s486,23_196_PM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Santa Clara Great America,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d1_s486,23_AM_196_EV_d1_s486,23_196_EV_d1_s486,Capitol Corridor,Oakland Jack London,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Santa Clara Great America,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d0_s487,23_AM_196_EV_d0_s487,23_196_EV_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Santa Clara University,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d0_s487,23_AM_196_EA_d0_s487,23_196_EA_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Santa Clara University,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d0_s487,23_AM_196_AM_d0_s487,23_196_AM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Santa Clara University,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d0_s487,23_AM_196_MD_d0_s487,23_196_MD_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Santa Clara University,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d0_s487,23_AM_196_PM_d0_s487,23_196_PM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Santa Clara University,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d1_s486,23_AM_196_EA_d1_s486,23_196_EA_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Santa Clara University,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d1_s486,23_AM_196_AM_d1_s486,23_196_AM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Santa Clara University,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d1_s486,23_AM_196_MD_d1_s486,23_196_MD_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Santa Clara University,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d1_s486,23_AM_196_PM_d1_s486,23_196_PM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Santa Clara University,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d1_s486,23_AM_196_EV_d1_s486,23_196_EV_d1_s486,Capitol Corridor,Oakland Jack London,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Santa Clara University,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d0_s487,23_AM_196_EV_d0_s487,23_196_EV_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Suisun-fairfield,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d0_s487,23_AM_196_EA_d0_s487,23_196_EA_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Suisun-fairfield,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d0_s487,23_AM_196_AM_d0_s487,23_196_AM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Suisun-fairfield,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d0_s487,23_AM_196_MD_d0_s487,23_196_MD_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Suisun-fairfield,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d0_s487,23_AM_196_PM_d0_s487,23_196_PM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Suisun-fairfield,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d1_s486,23_AM_196_EA_d1_s486,23_196_EA_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Suisun-fairfield,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d1_s486,23_AM_196_AM_d1_s486,23_196_AM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Suisun-fairfield,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d1_s486,23_AM_196_MD_d1_s486,23_196_MD_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Suisun-fairfield,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d1_s486,23_AM_196_PM_d1_s486,23_196_PM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Suisun-fairfield,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d1_s486,23_AM_196_EV_d1_s486,23_196_EV_d1_s486,Capitol Corridor,Oakland Jack London,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Berkeley&&&Suisun-fairfield,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d0_s487,23_AM_196_EV_d0_s487,23_196_EV_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Fairfield/Vacaville Station,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d0_s487,23_AM_196_EA_d0_s487,23_196_EA_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Fairfield/Vacaville Station,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d0_s487,23_AM_196_AM_d0_s487,23_196_AM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Fairfield/Vacaville Station,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d0_s487,23_AM_196_MD_d0_s487,23_196_MD_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Fairfield/Vacaville Station,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d0_s487,23_AM_196_PM_d0_s487,23_196_PM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Fairfield/Vacaville Station,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d1_s486,23_AM_196_EA_d1_s486,23_196_EA_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Fairfield/Vacaville Station,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d1_s486,23_AM_196_AM_d1_s486,23_196_AM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Fairfield/Vacaville Station,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d1_s486,23_AM_196_MD_d1_s486,23_196_MD_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Fairfield/Vacaville Station,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d1_s486,23_AM_196_PM_d1_s486,23_196_PM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Fairfield/Vacaville Station,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d1_s486,23_AM_196_EV_d1_s486,23_196_EV_d1_s486,Capitol Corridor,Oakland Jack London,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Fairfield/Vacaville Station,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d0_s487,23_AM_196_EV_d0_s487,23_196_EV_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Fremont,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d0_s487,23_AM_196_EA_d0_s487,23_196_EA_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Fremont,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d0_s487,23_AM_196_AM_d0_s487,23_196_AM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Fremont,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d0_s487,23_AM_196_MD_d0_s487,23_196_MD_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Fremont,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d0_s487,23_AM_196_PM_d0_s487,23_196_PM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Fremont,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d1_s486,23_AM_196_EA_d1_s486,23_196_EA_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Fremont,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d1_s486,23_AM_196_AM_d1_s486,23_196_AM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Fremont,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d1_s486,23_AM_196_MD_d1_s486,23_196_MD_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Fremont,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d1_s486,23_AM_196_PM_d1_s486,23_196_PM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Fremont,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d1_s486,23_AM_196_EV_d1_s486,23_196_EV_d1_s486,Capitol Corridor,Oakland Jack London,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Fremont,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d0_s487,23_AM_196_EV_d0_s487,23_196_EV_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Hayward,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d0_s487,23_AM_196_EA_d0_s487,23_196_EA_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Hayward,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d0_s487,23_AM_196_AM_d0_s487,23_196_AM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Hayward,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d0_s487,23_AM_196_MD_d0_s487,23_196_MD_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Hayward,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d0_s487,23_AM_196_PM_d0_s487,23_196_PM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Hayward,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d1_s486,23_AM_196_EA_d1_s486,23_196_EA_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Hayward,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d1_s486,23_AM_196_AM_d1_s486,23_196_AM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Hayward,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d1_s486,23_AM_196_MD_d1_s486,23_196_MD_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Hayward,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d1_s486,23_AM_196_PM_d1_s486,23_196_PM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Hayward,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d1_s486,23_AM_196_EV_d1_s486,23_196_EV_d1_s486,Capitol Corridor,Oakland Jack London,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Hayward,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d0_s487,23_AM_196_EV_d0_s487,23_196_EV_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Martinez,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d0_s487,23_AM_196_EA_d0_s487,23_196_EA_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Martinez,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d0_s487,23_AM_196_AM_d0_s487,23_196_AM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Martinez,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d0_s487,23_AM_196_MD_d0_s487,23_196_MD_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Martinez,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d0_s487,23_AM_196_PM_d0_s487,23_196_PM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Martinez,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d1_s486,23_AM_196_EA_d1_s486,23_196_EA_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Martinez,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d1_s486,23_AM_196_AM_d1_s486,23_196_AM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Martinez,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d1_s486,23_AM_196_MD_d1_s486,23_196_MD_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Martinez,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d1_s486,23_AM_196_PM_d1_s486,23_196_PM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Martinez,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d1_s486,23_AM_196_EV_d1_s486,23_196_EV_d1_s486,Capitol Corridor,Oakland Jack London,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Martinez,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d0_s487,23_AM_196_EV_d0_s487,23_196_EV_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&San Jose,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d0_s487,23_AM_196_EA_d0_s487,23_196_EA_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&San Jose,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d0_s487,23_AM_196_AM_d0_s487,23_196_AM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&San Jose,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d0_s487,23_AM_196_MD_d0_s487,23_196_MD_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&San Jose,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d0_s487,23_AM_196_PM_d0_s487,23_196_PM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&San Jose,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d1_s486,23_AM_196_EA_d1_s486,23_196_EA_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&San Jose,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d1_s486,23_AM_196_AM_d1_s486,23_196_AM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&San Jose,Capitol Corridor,Commuter Rail,196,23_AM_196_MD_d1_s486,23_AM_196_MD_d1_s486,23_196_MD_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&San Jose,Capitol Corridor,Commuter Rail,196,23_AM_196_PM_d1_s486,23_AM_196_PM_d1_s486,23_196_PM_d1_s486,Capitol Corridor,San Jose,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&San Jose,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d1_s486,23_AM_196_EV_d1_s486,23_196_EV_d1_s486,Capitol Corridor,Oakland Jack London,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&San Jose,Capitol Corridor,Commuter Rail,196,23_AM_196_EV_d0_s487,23_AM_196_EV_d0_s487,23_196_EV_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Santa Clara Great America,Capitol Corridor,Commuter Rail,196,23_AM_196_EA_d0_s487,23_AM_196_EA_d0_s487,23_196_EA_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
CAPITOL CORRIDOR___Emeryville&&&Santa Clara Great America,Capitol Corridor,Commuter Rail,196,23_AM_196_AM_d0_s487,23_AM_196_AM_d0_s487,23_196_AM_d0_s487,Capitol Corridor,Sacramento,Capitol_2017_3_20,CC,NA,Capitol Corridor
